COUNTY,MCD_NAME,MCD_ID,YEAR,POPULATION_ESTIMATE,TOTAL_KSI_RATE,PEDESTRIAN_KSI_RATE,BICYCLIST_KSI_RATE,TOTAL_KSI_RATE_5YR,PEDESTRIAN_KSI_RATE_5YR,BICYCLIST_KSI_RATE_5YR
Burlington County,Bass River Township,3400503370,2020,1416,2754.2,70.6,0.0,3500.6,28.1,14.1
Burlington County,Beverly City,3400505740,2020,2479,242.0,0.0,0.0,337.6,8.0,8.0
Burlington County,Bordentown City,3400506670,2020,3792,0.0,0.0,0.0,299.5,52.6,5.3
Burlington County,Bordentown Township,3400506700,2020,11914,805.8,25.2,0.0,1124.3,20.2,11.8
Burlington County,Burlington City,3400508920,2020,9856,558.0,50.7,10.1,1140.7,63.0,12.2
Burlington County,Burlington Township,3400508950,2020,22547,851.6,22.2,4.4,988.3,30.1,3.5
Burlington County,Chesterfield Township,3400512670,2020,7573,369.7,0.0,26.4,519.3,2.6,7.9
Burlington County,Cinnaminson Township,3400512940,2020,16646,684.8,30.0,0.0,495.5,12.1,1.2
Burlington County,Delanco Township,3400517080,2020,4496,111.2,22.2,22.2,188.1,9.0,17.9
Burlington County,Delran Township,3400517440,2020,16566,549.3,24.1,18.1,658.8,19.3,8.4
Burlington County,Eastampton Township,3400518790,2020,6656,270.4,0.0,0.0,611.7,9.7,9.7
Burlington County,Edgewater Park Township,3400520050,2020,8647,427.9,46.3,11.6,421.4,25.3,18.4
Burlington County,Evesham Township,3400522110,2020,45701,472.6,6.6,2.2,556.9,8.4,7.9
Burlington County,Florence Township,3400523850,2020,12592,706.8,15.9,23.8,799.7,33.5,23.9
Burlington County,Hainesport Township,3400529010,2020,5976,468.5,0.0,16.7,977.7,30.0,6.7
Burlington County,Lumberton Township,3400542060,2020,12183,459.7,8.2,24.6,602.9,16.3,18.0
Burlington County,Mansfield Township,3400543290,2020,8533,808.6,11.7,0.0,1420.6,18.7,4.7
Burlington County,Maple Shade Township,3400543740,2020,18458,769.3,21.7,5.4,1004.2,38.7,7.5
Burlington County,Medford Township,3400545120,2020,23381,615.9,4.3,25.7,745.1,8.6,18.8
Burlington County,Medford Lakes Borough,3400545210,2020,3914,127.7,0.0,0.0,177.0,10.1,20.2
Burlington County,Moorestown Township,3400547880,2020,20493,707.6,14.6,39.0,1098.3,21.5,24.4
Burlington County,Mount Holly Township,3400548900,2020,9597,656.5,114.6,0.0,1000.9,81.7,16.8
Burlington County,Mount Laurel Township,3400549020,2020,42408,827.7,16.5,28.3,1227.8,14.9,16.3
Burlington County,New Hanover Township,3400551510,2020,7787,0.0,0.0,0.0,26.2,2.6,0.0
Burlington County,North Hanover Township,3400553070,2020,7470,174.0,0.0,0.0,461.0,0.0,2.7
Burlington County,Palmyra Borough,3400555800,2020,7140,784.3,56.0,14.0,719.3,39.0,22.3
Burlington County,Pemberton Borough,3400557480,2020,1324,528.7,0.0,0.0,1215.9,15.0,0.0
Burlington County,Pemberton Township,3400557510,2020,26966,641.5,11.1,7.4,787.1,22.8,19.2
Burlington County,Riverside Township,3400563510,2020,7816,153.5,0.0,0.0,178.2,15.3,7.6
Burlington County,Riverton Borough,3400563660,2020,2677,224.1,0.0,0.0,148.5,14.9,7.4
Burlington County,Shamong Township,3400566810,2020,6367,612.5,0.0,0.0,610.5,0.0,15.7
Burlington County,Southampton Township,3400568610,2020,10095,842.0,9.9,9.9,1261.2,21.7,7.9
Burlington County,Springfield Township,3400569990,2020,3257,1903.6,0.0,0.0,2934.5,18.3,6.1
Burlington County,Tabernacle Township,3400572060,2020,6794,574.0,29.4,0.0,618.4,5.9,5.9
Burlington County,Washington Township,3400577150,2020,711,2250.4,0.0,0.0,1893.3,0.0,57.4
Burlington County,Westampton Township,3400578200,2020,8649,1237.1,57.8,23.1,1863.2,57.8,11.6
Burlington County,Willingboro Township,3400581440,2020,32005,662.4,25.0,0.0,728.4,33.4,13.2
Burlington County,Woodland Township,3400582420,2020,1761,1760.4,56.8,0.0,2022.6,90.4,11.3
Burlington County,Wrightstown Borough,3400582960,2020,776,902.1,0.0,0.0,330.5,25.4,0.0
